date,pincode,district,state,center_type,footfall,day_of_week,day_name,is_weekend,is_monday,month,quarter,week_of_month,day_of_month,is_first_week,is_holiday,is_day_after_holiday,is_enrollment_season,is_pension_month,is_festival_season,day_of_year,center_type_encoded,is_urban,is_rural,state_encoded,district_encoded,pincode_category,footfall_lag_7,footfall_lag_14,footfall_lag_30,footfall_rolling_mean_7,footfall_rolling_mean_14,footfall_rolling_mean_30,footfall_rolling_std_7,footfall_change_7d,footfall_change_30d,footfall_rolling_max_30,footfall_rolling_min_30,rural_pension_interaction,urban_enrollment_interaction,monday_first_week,weekend_holiday,lag_ratio_7_to_30
2025-01-31,110001,Central Delhi,Delhi,Urban,157,4,Friday,0,0,1,1,5,31,0,0,0,0,0,0,31,2,1,0,0,0,110001,167.0,156.0,220.0,161.85714285714286,154.0,160.63333333333333,85.56562505163035,-10.0,-63.0,265.0,12.0,0,0,0,0,1.0332027222107651
2025-02-01,110001,Central Delhi,Delhi,Urban,87,5,Saturday,1,0,2,1,1,1,1,0,0,0,0,0,32,2,1,0,0,0,110001,95.0,117.0,239.0,160.42857142857142,154.07142857142858,158.53333333333333,85.54892779935379,-8.0,-152.0,265.0,12.0,0,0,0,0,0.5954868366067697
2025-02-02,110001,Central Delhi,Delhi,Urban,120,6,Sunday,1,0,2,1,1,2,1,0,0,0,0,0,33,2,1,0,0,0,110001,12.0,60.0,178.0,159.28571428571428,151.92857142857142,153.46666666666667,86.6154610634735,108.0,-58.0,265.0,12.0,0,0,0,0,0.07768666378938283
2025-02-03,110001,Central Delhi,Delhi,Urban,236,0,Monday,0,1,2,1,1,3,1,0,0,0,0,0,34,2,1,0,0,0,110001,265.0,174.0,174.0,174.71428571428572,156.21428571428572,151.53333333333333,62.17908084909342,-29.0,62.0,265.0,12.0,0,0,1,0,1.7373251748251748
2025-02-04,110001,Central Delhi,Delhi,Urban,208,1,Tuesday,0,0,2,1,1,4,1,0,0,0,0,0,35,2,1,0,0,0,110001,230.0,221.0,95.0,170.57142857142858,160.64285714285714,153.6,55.799812254335116,-22.0,113.0,265.0,12.0,0,0,0,0,1.4877102199223804
2025-02-05,110001,Central Delhi,Delhi,Urban,230,2,Wednesday,0,0,2,1,1,5,1,0,0,0,0,0,36,2,1,0,0,0,110001,161.0,172.0,212.0,167.42857142857142,159.71428571428572,157.36666666666667,52.41137644588606,69.0,18.0,265.0,12.0,0,0,0,0,1.0166280782993053
2025-02-06,110001,Central Delhi,Delhi,Urban,210,3,Thursday,0,0,2,1,1,6,1,0,0,0,0,0,37,2,1,0,0,0,110001,203.0,123.0,197.0,177.28571428571428,163.85714285714286,157.96666666666667,57.2646321496794,7.0,13.0,265.0,12.0,0,0,0,0,1.2769972740616482
2025-02-07,110001,Central Delhi,Delhi,Urban,121,4,Friday,0,0,2,1,1,7,1,0,0,0,0,0,38,2,1,0,0,0,110001,157.0,167.0,131.0,178.28571428571428,170.07142857142858,158.4,57.846677477951104,-36.0,-10.0,265.0,12.0,0,0,0,0,0.9849435382685069
2025-02-08,110001,Central Delhi,Delhi,Urban,111,5,Saturday,1,0,2,1,2,8,0,0,0,0,0,0,39,2,1,0,0,0,110001,87.0,95.0,157.0,173.14285714285714,166.78571428571428,158.06666666666666,61.53705813418061,24.0,-46.0,265.0,12.0,0,0,0,0,0.546940486169321
2025-02-09,110001,Central Delhi,Delhi,Urban,54,6,Sunday,1,0,2,1,2,9,0,0,0,0,0,0,40,2,1,0,0,0,110001,120.0,12.0,128.0,176.57142857142858,167.92857142857142,156.53333333333333,56.39106649951197,-66.0,-74.0,265.0,12.0,0,0,0,0,0.7617435463393991
