date,pincode,district,state,center_type,footfall
2025-01-01,110001,Central Delhi,Delhi,Urban,220
2025-01-02,110001,Central Delhi,Delhi,Urban,239
2025-01-03,110001,Central Delhi,Delhi,Urban,178
2025-01-04,110001,Central Delhi,Delhi,Urban,174
2025-01-05,110001,Central Delhi,Delhi,Urban,95
2025-01-06,110001,Central Delhi,Delhi,Urban,212
2025-01-07,110001,Central Delhi,Delhi,Urban,197
2025-01-08,110001,Central Delhi,Delhi,Urban,131
2025-01-09,110001,Central Delhi,Delhi,Urban,157
2025-01-10,110001,Central Delhi,Delhi,Urban,128
2025-01-11,110001,Central Delhi,Delhi,Urban,143
2025-01-12,110001,Central Delhi,Delhi,Urban,66
2025-01-13,110001,Central Delhi,Delhi,Urban,198
2025-01-14,110001,Central Delhi,Delhi,Urban,168
2025-01-15,110001,Central Delhi,Delhi,Urban,167
2025-01-16,110001,Central Delhi,Delhi,Urban,190
2025-01-17,110001,Central Delhi,Delhi,Urban,156
2025-01-18,110001,Central Delhi,Delhi,Urban,117
2025-01-19,110001,Central Delhi,Delhi,Urban,60
2025-01-20,110001,Central Delhi,Delhi,Urban,174
2025-01-21,110001,Central Delhi,Delhi,Urban,221
2025-01-22,110001,Central Delhi,Delhi,Urban,172
2025-01-23,110001,Central Delhi,Delhi,Urban,123
2025-01-24,110001,Central Delhi,Delhi,Urban,167
2025-01-25,110001,Central Delhi,Delhi,Urban,95
2025-01-26,110001,Central Delhi,Delhi,Urban,12
2025-01-27,110001,Central Delhi,Delhi,Urban,265
2025-01-28,110001,Central Delhi,Delhi,Urban,230
2025-01-29,110001,Central Delhi,Delhi,Urban,161
2025-01-30,110001,Central Delhi,Delhi,Urban,203
2025-01-31,110001,Central Delhi,Delhi,Urban,157
2025-02-01,110001,Central Delhi,Delhi,Urban,87
2025-02-02,110001,Central Delhi,Delhi,Urban,120
2025-02-03,110001,Central Delhi,Delhi,Urban,236
2025-02-04,110001,Central Delhi,Delhi,Urban,208
2025-02-05,110001,Central Delhi,Delhi,Urban,230
2025-02-06,110001,Central Delhi,Delhi,Urban,210
2025-02-07,110001,Central Delhi,Delhi,Urban,121
2025-02-08,110001,Central Delhi,Delhi,Urban,111
2025-02-09,110001,Central Delhi,Delhi,Urban,54
2025-02-10,110001,Central Delhi,Delhi,Urban,202
2025-02-11,110001,Central Delhi,Delhi,Urban,221
2025-02-12,110001,Central Delhi,Delhi,Urban,150
2025-02-13,110001,Central Delhi,Delhi,Urban,199
2025-02-14,110001,Central Delhi,Delhi,Urban,157
2025-02-15,110001,Central Delhi,Delhi,Urban,130
2025-02-16,110001,Central Delhi,Delhi,Urban,68
2025-02-17,110001,Central Delhi,Delhi,Urban,171
2025-02-18,110001,Central Delhi,Delhi,Urban,200
2025-02-19,110001,Central Delhi,Delhi,Urban,176
2025-02-20,110001,Central Delhi,Delhi,Urban,129
2025-02-21,110001,Central Delhi,Delhi,Urban,143
2025-02-22,110001,Central Delhi,Delhi,Urban,112
2025-02-23,110001,Central Delhi,Delhi,Urban,102
2025-02-24,110001,Central Delhi,Delhi,Urban,200
2025-02-25,110001,Central Delhi,Delhi,Urban,127
2025-02-26,110001,Central Delhi,Delhi,Urban,208
2025-02-27,110001,Central Delhi,Delhi,Urban,162
2025-02-28,110001,Central Delhi,Delhi,Urban,137
2025-03-01,110001,Central Delhi,Delhi,Urban,174
2025-03-02,110001,Central Delhi,Delhi,Urban,99
2025-03-03,110001,Central Delhi,Delhi,Urban,282
2025-03-04,110001,Central Delhi,Delhi,Urban,281
2025-03-05,110001,Central Delhi,Delhi,Urban,179
2025-03-06,110001,Central Delhi,Delhi,Urban,206
2025-03-07,110001,Central Delhi,Delhi,Urban,154
2025-03-08,110001,Central Delhi,Delhi,Urban,114
2025-03-09,110001,Central Delhi,Delhi,Urban,101
2025-03-10,110001,Central Delhi,Delhi,Urban,196
2025-03-11,110001,Central Delhi,Delhi,Urban,217
2025-03-12,110001,Central Delhi,Delhi,Urban,226
2025-03-13,110001,Central Delhi,Delhi,Urban,147
2025-03-14,110001,Central Delhi,Delhi,Urban,49
2025-03-15,110001,Central Delhi,Delhi,Urban,126
2025-03-16,110001,Central Delhi,Delhi,Urban,102
2025-03-17,110001,Central Delhi,Delhi,Urban,241
2025-03-18,110001,Central Delhi,Delhi,Urban,191
2025-03-19,110001,Central Delhi,Delhi,Urban,199
2025-03-20,110001,Central Delhi,Delhi,Urban,251
2025-03-21,110001,Central Delhi,Delhi,Urban,159
2025-03-22,110001,Central Delhi,Delhi,Urban,115
2025-03-23,110001,Central Delhi,Delhi,Urban,90
2025-03-24,110001,Central Delhi,Delhi,Urban,253
2025-03-25,110001,Central Delhi,Delhi,Urban,251
2025-03-26,110001,Central Delhi,Delhi,Urban,172
2025-03-27,110001,Central Delhi,Delhi,Urban,146
2025-03-28,110001,Central Delhi,Delhi,Urban,176
2025-03-29,110001,Central Delhi,Delhi,Urban,145
2025-03-30,110001,Central Delhi,Delhi,Urban,112
2025-03-31,110001,Central Delhi,Delhi,Urban,83
2025-04-01,110001,Central Delhi,Delhi,Urban,394
2025-04-02,110001,Central Delhi,Delhi,Urban,220
2025-04-03,110001,Central Delhi,Delhi,Urban,244
2025-04-04,110001,Central Delhi,Delhi,Urban,246
2025-04-05,110001,Central Delhi,Delhi,Urban,119
2025-04-06,110001,Central Delhi,Delhi,Urban,120
2025-04-07,110001,Central Delhi,Delhi,Urban,280
2025-04-08,110001,Central Delhi,Delhi,Urban,253
2025-04-09,110001,Central Delhi,Delhi,Urban,202
2025-04-10,110001,Central Delhi,Delhi,Urban,28
2025-04-11,110001,Central Delhi,Delhi,Urban,318
2025-04-12,110001,Central Delhi,Delhi,Urban,186
2025-04-13,110001,Central Delhi,Delhi,Urban,70
2025-04-14,110001,Central Delhi,Delhi,Urban,64
2025-04-15,110001,Central Delhi,Delhi,Urban,420
2025-04-16,110001,Central Delhi,Delhi,Urban,267
2025-04-17,110001,Central Delhi,Delhi,Urban,261
2025-04-18,110001,Central Delhi,Delhi,Urban,211
2025-04-19,110001,Central Delhi,Delhi,Urban,127
2025-04-20,110001,Central Delhi,Delhi,Urban,99
2025-04-21,110001,Central Delhi,Delhi,Urban,327
2025-04-22,110001,Central Delhi,Delhi,Urban,230
2025-04-23,110001,Central Delhi,Delhi,Urban,220
2025-04-24,110001,Central Delhi,Delhi,Urban,196
2025-04-25,110001,Central Delhi,Delhi,Urban,188
2025-04-26,110001,Central Delhi,Delhi,Urban,128
2025-04-27,110001,Central Delhi,Delhi,Urban,91
2025-04-28,110001,Central Delhi,Delhi,Urban,339
2025-04-29,110001,Central Delhi,Delhi,Urban,171
2025-04-30,110001,Central Delhi,Delhi,Urban,221
2025-05-01,110001,Central Delhi,Delhi,Urban,39
2025-05-02,110001,Central Delhi,Delhi,Urban,346
2025-05-03,110001,Central Delhi,Delhi,Urban,122
2025-05-04,110001,Central Delhi,Delhi,Urban,93
2025-05-05,110001,Central Delhi,Delhi,Urban,356
2025-05-06,110001,Central Delhi,Delhi,Urban,220
2025-05-07,110001,Central Delhi,Delhi,Urban,336
2025-05-08,110001,Central Delhi,Delhi,Urban,156
2025-05-09,110001,Central Delhi,Delhi,Urban,230
2025-05-10,110001,Central Delhi,Delhi,Urban,162
2025-05-11,110001,Central Delhi,Delhi,Urban,86
2025-05-12,110001,Central Delhi,Delhi,Urban,115
2025-05-13,110001,Central Delhi,Delhi,Urban,205
2025-05-14,110001,Central Delhi,Delhi,Urban,255
2025-05-15,110001,Central Delhi,Delhi,Urban,200
2025-05-16,110001,Central Delhi,Delhi,Urban,225
2025-05-17,110001,Central Delhi,Delhi,Urban,166
2025-05-18,110001,Central Delhi,Delhi,Urban,93
2025-05-19,110001,Central Delhi,Delhi,Urban,251
2025-05-20,110001,Central Delhi,Delhi,Urban,229
2025-05-21,110001,Central Delhi,Delhi,Urban,235
2025-05-22,110001,Central Delhi,Delhi,Urban,231
2025-05-23,110001,Central Delhi,Delhi,Urban,225
2025-05-24,110001,Central Delhi,Delhi,Urban,140
2025-05-25,110001,Central Delhi,Delhi,Urban,91
2025-05-26,110001,Central Delhi,Delhi,Urban,225
2025-05-27,110001,Central Delhi,Delhi,Urban,213
2025-05-28,110001,Central Delhi,Delhi,Urban,212
2025-05-29,110001,Central Delhi,Delhi,Urban,245
2025-05-30,110001,Central Delhi,Delhi,Urban,236
2025-05-31,110001,Central Delhi,Delhi,Urban,116
2025-06-01,110001,Central Delhi,Delhi,Urban,160
2025-06-02,110001,Central Delhi,Delhi,Urban,342
2025-06-03,110001,Central Delhi,Delhi,Urban,365
2025-06-04,110001,Central Delhi,Delhi,Urban,322
2025-06-05,110001,Central Delhi,Delhi,Urban,293
2025-06-06,110001,Central Delhi,Delhi,Urban,319
2025-06-07,110001,Central Delhi,Delhi,Urban,229
2025-06-08,110001,Central Delhi,Delhi,Urban,132
2025-06-09,110001,Central Delhi,Delhi,Urban,324
2025-06-10,110001,Central Delhi,Delhi,Urban,298
2025-06-11,110001,Central Delhi,Delhi,Urban,270
2025-06-12,110001,Central Delhi,Delhi,Urban,204
2025-06-13,110001,Central Delhi,Delhi,Urban,303
2025-06-14,110001,Central Delhi,Delhi,Urban,199
2025-06-15,110001,Central Delhi,Delhi,Urban,111
2025-06-16,110001,Central Delhi,Delhi,Urban,304
2025-06-17,110001,Central Delhi,Delhi,Urban,326
2025-06-18,110001,Central Delhi,Delhi,Urban,235
2025-06-19,110001,Central Delhi,Delhi,Urban,269
2025-06-20,110001,Central Delhi,Delhi,Urban,222
2025-06-21,110001,Central Delhi,Delhi,Urban,173
2025-06-22,110001,Central Delhi,Delhi,Urban,113
2025-06-23,110001,Central Delhi,Delhi,Urban,211
2025-06-24,110001,Central Delhi,Delhi,Urban,239
2025-06-25,110001,Central Delhi,Delhi,Urban,293
2025-06-26,110001,Central Delhi,Delhi,Urban,278
2025-06-27,110001,Central Delhi,Delhi,Urban,221
2025-06-28,110001,Central Delhi,Delhi,Urban,161
2025-06-29,110001,Central Delhi,Delhi,Urban,119
2025-06-30,110001,Central Delhi,Delhi,Urban,358
2025-07-01,110001,Central Delhi,Delhi,Urban,327
2025-07-02,110001,Central Delhi,Delhi,Urban,339
2025-07-03,110001,Central Delhi,Delhi,Urban,309
2025-07-04,110001,Central Delhi,Delhi,Urban,277
2025-07-05,110001,Central Delhi,Delhi,Urban,207
2025-07-06,110001,Central Delhi,Delhi,Urban,187
2025-07-07,110001,Central Delhi,Delhi,Urban,459
2025-07-08,110001,Central Delhi,Delhi,Urban,339
2025-07-09,110001,Central Delhi,Delhi,Urban,366
2025-07-10,110001,Central Delhi,Delhi,Urban,229
2025-07-11,110001,Central Delhi,Delhi,Urban,169
2025-07-12,110001,Central Delhi,Delhi,Urban,163
2025-07-13,110001,Central Delhi,Delhi,Urban,163
2025-07-14,110001,Central Delhi,Delhi,Urban,361
2025-07-15,110001,Central Delhi,Delhi,Urban,265
2025-07-16,110001,Central Delhi,Delhi,Urban,255
